GLOBALEVENTID,SQLDATE,SOURCEURL,ActionGeo_Lat,ActionGeo_Long,ActionGeo_CountryCode,title,company,industry,topic,sentiment
426850921,20150420,http://www.sourcingfocus.com/site/newsitem/accenture_lands_966m_us_education_contract/,,,,accenture lands 966m us education contract,accenture,,,
426858486,20150420,http://www.virtual-strategy.com/2015/04/20/deloitte-recognizes-rightstep%E2%84%A2-innovation-prize-finalists-focused-advancing-education-out,,,,deloitte recognizes rightstep%e2%84%a2 innovation prize finalists focused advancing education out,deloitte,,,
426880484,20150420,http://www.thestreet.com/story/13117912/1/university-of-southern-california-takes-top-honors-at-deloitte-foundation-cyber-threat-competition.html,31.106,-97.6475,US,university of southern california takes top honors at deloitte foundation cyber threat competition.html,deloitte,,,
426869755,20150420,http://bits.blogs.nytimes.com/2015/04/20/daily-report-ibm-venture-with-china-stirs-concerns/,38.0,-97.0,US,daily report ibm venture with china stirs concerns,ibm,,,
426897398,20150420,http://www.wallstreetscope.com/morning-active-stocks-encana-corporation-eca-united-states-steel-corp-x-international-business-machines-corporation-ibm-ariad-pharmaceuticals-inc-aria-horizon-pharma-plc-hznp/25247049/,38.0,-97.0,US,morning active stocks encana corporation eca united states steel corp x international business machines corporation ibm ariad pharmaceuticals inc aria horizon pharma plc hznp,ibm,,,
426900230,20150420,http://www.gaystarnews.com/article/ibm-louisiana%E2%80%99s-jindal-religious-freedom-bill-%E2%80%98-antithetical-our-company%E2%80%99s-values%E2%80%99200415,31.1801,-91.8749,US,ibm louisiana%e2%80%99s jindal religious freedom bill %e2%80%98 antithetical our company%e2%80%99s values%e2%80%99200415,ibm,,,
426918493,20150420,http://www.thestreet.com/story/13118194/1/the-confidential-insurgent-is-ibm-a-realistic-target-for-activists.html,35.0,105.0,CH,the confidential insurgent is ibm a realistic target for activists.html,ibm,,,
426923439,20150420,http://www.theglobaldispatch.com/louisiana-gov-bobby-jindal-fighting-attacks-on-religious-freedom-bill-ibm-says-no-41133/,30.4507,-91.1545,US,louisiana gov bobby jindal fighting attacks on religious freedom bill ibm says no 41133,ibm,,,
426927492,20150420,http://www.ibm.com/smarterplanet/us/en/innovation_explanations/article/michael_dixon.html,25.2522,55.28,AE,www.ibm.com,ibm,,,
426936436,20150420,http://www.benzinga.com/analyst-ratings/analyst-color/15/04/5423055/what-deutsche-bank-is-watching-at-ibm,,,,what deutsche bank is watching at ibm,ibm,,,
426945978,20150420,http://learnbonds.com/international-business-machines-corp-nyseibm-caves-in-to-chinese-pressure/117589/,39.9289,116.388,CH,international business machines corp nyseibm caves in to chinese pressure,ibm,,,
426959082,20150321,http://www.cruxnow.com/life/2015/04/20/exec-tells-mccrory-ibm-opposes-nc-religious-freedom-bill/,35.7721,-78.6386,US,exec tells mccrory ibm opposes nc religious freedom bill,ibm,,,
426969005,20150420,http://blogs.wsj.com/digits/2015/04/20/ibm-earnings-what-to-watch-4/,,,,ibm earnings what to watch 4,ibm,,,
426991372,20140420,http://finance.yahoo.com/news/mixed-bag-for-big-blue--ibm-q1-profits-top-views--but-sales-lag-201502366.html,,,,mixed bag for big blue  ibm q1 profits top views  but sales lag 201502366.html,ibm,,,
427000682,20150420,http://www.nytimes.com/2015/04/21/technology/ibm-first-quarter-earnings-top-wall-st-expectations.html,38.0,-97.0,US,ibm first quarter earnings top wall st expectations.html,ibm,,,
427000704,20150420,http://www.businessinsider.com/mainframe-saves-ibm-quarter-2015-4,,,,mainframe saves ibm quarter 2015 4,ibm,,,
427003069,20150420,http://www.businessinsider.com/ibm-were-killing-it-in-new-areas-2015-4,,,,ibm were killing it in new areas 2015 4,ibm,,,
427006413,20150420,http://jutiagroup.com/20150420-market-update-international-business-machines-corporation-nyseibm-ibm-stock-gaining-in-after-hours-trading-today-following-earnings-beat/,42.0584,-73.9093,US,20150420 market update international business machines corporation nyseibm ibm stock gaining in after hours trading today following earnings beat,ibm,,,
427012745,20150420,http://www.ibm.com/smarterplanet/us/en/innovation_explanations/article/rajasekar_krishnamurthy.html,1.0,32.0,UG,www.ibm.com,ibm,,,
427219862,20150421,http://www.wallstreetscope.com/morning-hot-union-pacific-corporation-unp-accenture-plc-acn-illinois-tool-works-inc-itw-ziopharm-oncology-inc-ziop-mgm-resorts-international-mgm/25248880/,40.3363,-89.0022,US,morning hot union pacific corporation unp accenture plc acn illinois tool works inc itw ziopharm oncology inc ziop mgm resorts international mgm,accenture,,,
427233142,20140421,http://www.techworld.com/news/careers/accenture-expands-its-apprenticeship-programme-in-newcastle-london-3608768/,51.4,-1.31667,UK,accenture expands its apprenticeship programme in newcastle london 3608768,accenture,,,
427023970,20150421,http://www.seattletimes.com/business/ibm-venture-with-chinese-stirs-concern/,39.9289,116.388,CH,ibm venture with chinese stirs concern,ibm,,,
427025222,20150421,http://www.themalaymailonline.com/money/article/ibms-profit-tops-estimates-on-mainframe-and-cloud-services-sales,42.1497,-74.9384,US,ibms profit tops estimates on mainframe and cloud services sales,ibm,,,
427027722,20150421,http://www.washingtonpost.com/business/economy/ibm-revenue-falls-for-12th-straight-quarter/2015/04/20/6892a158-e797-11e4-9a6a-c1ab95a0600b_story.html,17.3167,-101.017,MX,ibm revenue falls for 12th straight quarter,ibm,,,
427029857,20150421,http://www.afr.com/technology/ibm-sales-fall-for-12th-quarter-currency-weighs-20150420-1mpgcs,,,,ibm sales fall for 12th quarter currency weighs 20150420 1mpgcs,ibm,,,
427052688,20150421,http://www.rawstory.com/2015/04/despicable-bigot-louisiana-republicans-clash-over-religious-freedom-bill-criticized-by-ibm/,34.9513,-92.3809,US,despicable bigot louisiana republicans clash over religious freedom bill criticized by ibm,ibm,,,
427057041,20150421,http://www.crn.com/news/cloud/300076579/ibm-earnings-revenue-decline-translates-to-high-margins.htm,,,,ibm earnings revenue decline translates to high margins.htm,ibm,,,
427091060,20150421,http://www.afr.com/news/policy/education/ibm-backs-tony-abbotts-pet-project-corporatesponsored-vocational-schools-20150421-1mpj94,42.1497,-74.9384,US,ibm backs tony abbotts pet project corporatesponsored vocational schools 20150421 1mpj94,ibm,,,
427091625,20150421,http://www.toledoblade.com/David-Shribman/2015/04/21/Mrs-Clinton-vs-Rubio-a-presidential-race-defined-by-history.html,27.8333,-81.717,US,david shribman,ibm,,,
427113108,20150421,http://www.itp.net/602893-ibm-logs-12th-straight-quarterly-revenue-decline,,,,602893 ibm logs 12th straight quarterly revenue decline,ibm,,,
427153453,20150421,http://www.theepochtimes.com/n3/1327551-china-looks-to-replace-ibm-with-help-from-ibm/,30.8598,111.378,CH,1327551 china looks to replace ibm with help from ibm,ibm,,,
427158120,20150421,http://www.onlinetmd.com/manufacturing-cribmaster-inventory-management-solutions-42115.aspx,0.0,0.0,US,manufacturing cribmaster inventory management solutions 42115.aspx,ibm,,,
427170427,20150421,http://www.emarketsdaily.com/major-development-in-views-time-warner-cable-inc-nysetwc-st-jude-medical-inc-nysestj-international-business-machines-corporation-nyseibm/1836471/,40.0,-4.0,SP,major development in views time warner cable inc nysetwc st jude medical inc nysestj international business machines corporation nyseibm,ibm,,,
427180041,20150421,http://www.fastcodesign.com/3045147/ibms-watson-designed-the-worst-burrito-ive-ever-had,1.0,38.0,KE,ibms watson designed the worst burrito ive ever had,ibm,,,
427183648,20150421,http://www.marketwatch.com/story/ibm-brings-cyber-threat-analytics-to-the-cloud-2015-04-21,,,,ibm brings cyber threat analytics to the cloud 2015 04 21,ibm,,,
427198699,20150322,http://www.edgeboston.com/business/corporate/news//175699/ibm_to_nc_gov:_company_opposes_,35.7721,-78.6386,US,ibm to nc gov: company opposes ,ibm,,,
427202727,20150421,http://www.techtimes.com/articles/47670/20150421/ibm-china-venture-raises-red-flag-dont-ask-why.htm,35.0,105.0,CH,ibm china venture raises red flag dont ask why.htm,ibm,,,
427210653,20150421,http://www.technewstoday.com/23093-ibm-corp-in-china-raises-concerns-amongst-the-chinese-tech-industry/,39.9289,116.388,CH,23093 ibm corp in china raises concerns amongst the chinese tech industry,ibm,,,
427223936,20150421,http://www.christiantoday.com/article/ibm.opposes.religious.freedom.bill.in.north.carolina.in.letter.to.governor/52473.htm,34.9513,-92.3809,US,ibm.opposes.religious.freedom.bill.in.north.carolina.in.letter.to.governor,ibm,,,
427248213,20150421,http://www.crn.com/news/security/300076577/look-out-ibm-and-cisco-hp-teams-with-fireeye-to-mount-fortune-1000-security-offensive.htm,37.7749,-122.419,US,look out ibm and cisco hp teams with fireeye to mount fortune 1000 security offensive.htm,ibm,,,
427266094,20150421,http://www.techsonian.com/stocks-intraday-alert-the-coca-cola-ko-att-t-international-business-machines-ibm-bank-of-america-bac/12463946/,38.0,-97.0,US,stocks intraday alert the coca cola ko att t international business machines ibm bank of america bac,ibm,,,
427275790,20150421,http://moneymorning.com/2015/04/21/international-business-machines-corp-nyse-ibm-earnings-dont-support-sudden-rally/,,,,international business machines corp nyse ibm earnings dont support sudden rally,ibm,,,
427277444,20150421,http://www.newnownext.com/ibm-tells-louisiana-gov-that-religious-freedom-bill-is-antithetical-to-our-companys-values/04/2015/,31.1801,-91.8749,US,ibm tells louisiana gov that religious freedom bill is antithetical to our companys values,ibm,,,
427279137,20150421,http://www.lulegacy.com/2015/04/21/venture-between-ibm-and-china-concerns-some/445473/,39.9289,116.388,CH,venture between ibm and china concerns some,ibm,,,
427458246,20150422,http://www.techworld.com/news/mobile/accenture-opens-interactive-innovation-centre-in-frances-silicon-valley-3608930/,46.0,2.0,FR,accenture opens interactive innovation centre in frances silicon valley 3608930,accenture,,,
427511704,20150422,http://africabusiness.com/2015/04/22/exclusive-interview-accenture/,-29.0,24.0,SF,exclusive interview accenture,accenture,,,
427536057,20150422,http://jutiagroup.com/20150422-company-update-nyseacn-oil-and-gas-industry-investment-in-digital-technologies-shows-resilience-in-oil-price-downturn-accenture-and-microsoft-survey-reports/,53.3331,-6.24889,EI,20150422 company update nyseacn oil and gas industry investment in digital technologies shows resilience in oil price downturn accenture and microsoft survey reports,accenture,,,
427543341,20150422,http://www.newswire.ca/en/story/1522353/innovation-and-technology-will-increase-roi-with-workplace-training-accenture-and-ccce-report-shows,43.6667,-79.4167,CA,innovation and technology will increase roi with workplace training accenture and ccce report shows,accenture,,,
427385545,20150422,http://investcorrectly.com/20150421/international-business-machines-corp-ibm-cloud-mainframe-continue-remain-strong/,35.0,105.0,CH,international business machines corp ibm cloud mainframe continue remain strong,ibm,,,
427435553,20150422,http://www.thestreet.com/story/13119460/1/3-biggest-takeaways-from-ibms-ho-hum-first-quarter.html,,,,3 biggest takeaways from ibms ho hum first quarter.html,ibm,,,
427502225,20150422,http://www.thehostingnews.com/readyspace-launches-cloud-service-on-ibm-power-systems.html,38.0,-97.0,US,readyspace launches cloud service on ibm power systems.html,ibm,,,
427504368,20150422,http://www.forbes.com/sites/greatspeculations/2015/04/22/ibm-earnings-margins-improves-even-as-revenues-decline/,45.5,-73.5833,CA,ibm earnings margins improves even as revenues decline,ibm,,,
427551436,20150422,http://www.themalaysianinsider.com/technology/article/peugeot-ibm-working-to-connect-cars-to-shops-and-servicing,45.6333,5.73333,FR,peugeot ibm working to connect cars to shops and servicing,ibm,,,
427563434,20150422,http://www.technewstoday.com/23126-ibm-copr-to-join-french-automaker-psa-peugeot-citroen-for-connected-cars/,46.0,2.0,FR,23126 ibm copr to join french automaker psa peugeot citroen for connected cars,ibm,,,
427606997,20150422,http://www.techeye.net/business/peugeot-signs-connectivity-deal-with-ibm,46.0,2.0,FR,peugeot signs connectivity deal with ibm,ibm,,,
427612842,20150422,http://www.businessinsider.com/how-microsoft-fights-the-apple-ibm-plan-2015-4,,,,how microsoft fights the apple ibm plan 2015 4,ibm,,,
427645673,20150422,"http://www.crn.com.au/News/402919,how-ibm-reckons-it-can-beat-cloud-rivals-on-price.aspx",-37.8167,144.967,AS,"402919,how ibm reckons it can beat cloud rivals on price.aspx",ibm,,,
427913168,20150423,http://mis-asia.com/tech/industries/accenture-opens-interactive-innovation-centre-in-frances-silicon-valley/,46.0,2.0,FR,accenture opens interactive innovation centre in frances silicon valley,accenture,,,
427698844,20150423,http://finchannel.com/index.php/technology/item/42977-ibm-brings-cyber-threat-analytics-to-the-cloud,,,,42977 ibm brings cyber threat analytics to the cloud,ibm,,,
427792712,20150423,http://www.newswire.ca/en/story/1523077/ibm-canada-ltd-voted-canada-s-most-attractive-employer,47.5,-72.0,CA,ibm canada ltd voted canada s most attractive employer,ibm,,,
427798983,20150423,http://www.zdnet.com/article/after-medical-school-ibms-watson-ready-for-apple-health-apps/,32.0667,34.7667,IS,after medical school ibms watson ready for apple health apps,ibm,,,
427800685,20150423,http://www.prnewswire.co.in/news-releases/swiss-re-corporate-solutions-joins-forces-with-ibm-to-offer-cyber-risk-protection-501037591.html,47.3667,8.55,SZ,swiss re corporate solutions joins forces with ibm to offer cyber risk protection 501037591.html,ibm,,,
427817131,20150423,http://www.marketwatch.com/story/gartner-symposiumitxpo-2015-mastermind-keynotes-to-include-ibms-ginni-rometty-and-ges-jeffrey-r-immelt-2015-04-23,41.5834,-72.7622,US,gartner symposiumitxpo 2015 mastermind keynotes to include ibms ginni rometty and ges jeffrey r immelt 2015 04 23,ibm,,,
427821154,20150423,http://en.starafrica.com/news/swiss-re-corporate-solutions-joins-forces-with-ibm-to-offer-cyber-risk-protection.html,47.3667,8.55,SZ,swiss re corporate solutions joins forces with ibm to offer cyber risk protection.html,ibm,,,
427826441,20150423,http://www.eweek.com/cloud/ibm-opens-new-netherlands-cloud-data-center.html,-33.8833,151.217,AS,ibm opens new netherlands cloud data center.html,ibm,,,
427899371,20150423,http://myhostnews.com/2015/04/readyspace-launches-cloud-service-on-ibm-power-systems/,13.0,122.0,RP,readyspace launches cloud service on ibm power systems,ibm,,,
427904380,20150423,http://www.nearshoreamericas.com/capgemini-reportedly-talks-purchase-igate/,20.0,77.0,IN,capgemini reportedly talks purchase igate,capgemini,,,
428045203,20150424,http://www.hr.com/en/app/blog/2015/04/canadians-choose-ibm-as-canada%E2%80%99s-most-attractive-e_i8v5x7by.html,47.5,-72.0,CA,canadians choose ibm as canada%e2%80%99s most attractive e i8v5x7by.html,ibm,,,
428077053,20150424,http://www.wallstreetscope.com/fri-pre-market-insights-halozyme-therapeutics-inc-halo-banco-santander-s-a-san-perkinelmer-inc-pki-international-business-machines-corporation-ibm-china-shengda-packaging-group-inc/25253689/,,,,fri pre market insights halozyme therapeutics inc halo banco santander s a san perkinelmer inc pki international business machines corporation ibm china shengda packaging group inc,ibm,,,
428180308,20150424,http://foreignpolicy.com/2015/04/24/ibm-technology-transfer-china-virginia-rometty-strategy-lenovo-huawei-it/,39.9289,116.388,CH,ibm technology transfer china virginia rometty strategy lenovo huawei it,ibm,,,
428203227,20150424,http://www.investornewswire.com/cloud-centre-established-by-international-business-machines-corp-nyseibm-to-cater-for-rise-in-user-base/6980/,52.5,5.75,NL,cloud centre established by international business machines corp nyseibm to cater for rise in user base,ibm,,,
428261810,20150424,http://www.betaboston.com/news/2015/04/24/whats-for-dinner-let-ibms-chef-watson-decide/,49.75,15.5,EZ,whats for dinner let ibms chef watson decide,ibm,,,
428268335,20150424,http://www.jdsupra.com/legalnews/ibm-sentenced-to-pay-65-million-as-cont-90381/,46.5833,0.333333,FR,ibm sentenced to pay 65 million as cont 90381,ibm,,,
